# Matrices de confusion acumuladas (suma) sobre 10 folds
# F1 reportado: macro (no ponderado)
# Clases: Insufficient_Weight,Normal_Weight,Obesity_Type_I,Obesity_Type_II,Obesity_Type_III,Overweight_Level_I,Overweight_Level_II

# Configuracion: kNN k=1
Insufficient_Weight,242,19,4,0,0,6,1
Normal_Weight,38,152,22,7,0,38,30
Obesity_Type_I,5,12,291,13,1,14,15
Obesity_Type_II,0,5,7,279,0,0,6
Obesity_Type_III,0,1,0,0,322,0,1
Overweight_Level_I,7,27,20,2,0,211,23
Overweight_Level_II,2,21,17,4,2,20,224

# Configuracion: kNN k=3
Insufficient_Weight,249,15,0,0,0,6,2
Normal_Weight,54,150,18,3,0,26,36
Obesity_Type_I,5,15,293,17,2,8,11
Obesity_Type_II,1,2,7,278,0,1,8
Obesity_Type_III,0,1,0,0,322,0,1
Overweight_Level_I,12,39,29,2,0,194,14
Overweight_Level_II,5,28,27,8,1,21,200

# Configuracion: kNN k=5
Insufficient_Weight,247,15,0,0,0,7,3
Normal_Weight,57,142,24,3,1,27,33
Obesity_Type_I,4,13,287,21,5,8,13
Obesity_Type_II,1,2,6,280,0,2,6
Obesity_Type_III,0,1,0,0,322,0,1
Overweight_Level_I,13,29,33,5,0,195,15
Overweight_Level_II,5,27,29,11,1,28,189

# Configuracion: kNN k=7
Insufficient_Weight,242,15,0,0,0,10,5
Normal_Weight,53,140,23,4,1,26,40
Obesity_Type_I,5,8,274,27,5,9,23
Obesity_Type_II,1,2,5,283,0,1,5
Obesity_Type_III,0,1,0,0,322,0,1
Overweight_Level_I,12,26,38,6,0,185,23
Overweight_Level_II,6,22,31,11,1,28,191

# Configuracion: kNN k=11
Insufficient_Weight,228,18,6,1,0,12,7
Normal_Weight,58,119,25,10,2,26,47
Obesity_Type_I,5,8,269,32,8,10,19
Obesity_Type_II,2,1,6,280,1,1,6
Obesity_Type_III,0,1,0,0,322,0,1
Overweight_Level_I,16,27,43,10,3,178,13
Overweight_Level_II,10,22,38,14,3,25,178

# Configuracion: kNN k=15
Insufficient_Weight,227,19,8,2,0,9,7
Normal_Weight,65,109,31,11,2,22,47
Obesity_Type_I,4,8,260,41,9,10,19
Obesity_Type_II,2,1,7,279,1,1,6
Obesity_Type_III,0,1,0,0,322,0,1
Overweight_Level_I,17,23,47,15,4,169,15
Overweight_Level_II,13,18,42,21,3,25,168

# Configuracion: kNN k=21
Insufficient_Weight,226,18,9,5,0,9,5
Normal_Weight,70,95,35,10,3,27,47
Obesity_Type_I,4,5,255,48,12,7,20
Obesity_Type_II,2,0,4,282,1,1,7
Obesity_Type_III,0,1,0,0,322,0,1
Overweight_Level_I,21,17,66,17,5,147,17
Overweight_Level_II,14,17,49,25,4,20,161

